id,type,lease_fee_basis,lease_fee_base_sat,channel_fee_max_proportional_thousandths,channel_fee_max_base_msat,funding_weight,funding_feerate_perkw,lease_threshold,available_funds,min_their_funding,max_their_funding,per_channel_min,per_channel_max
73,LND,,,,,,,,,,,,
74,LND,,,,,,,,,,,,
75,CLN,57,1671,98,44561,719,2382,0.79,3857806,100,10000000,100,10000000
76,LND,,,,,,,,,,,,
77,LND,,,,,,,,,,,,
78,LND,,,,,,,,,,,,
79,LND,,,,,,,,,,,,
80,LND,,,,,,,,,,,,
81,LND,,,,,,,,,,,,
82,LND,,,,,,,,,,,,
83,LND,,,,,,,,,,,,
84,LND,,,,,,,,,,,,
85,LND,,,,,,,,,,,,
86,LND,,,,,,,,,,,,
87,LND,,,,,,,,,,,,
88,LND,,,,,,,,,,,,
89,LND,,,,,,,,,,,,
90,LND,,,,,,,,,,,,
91,LND,,,,,,,,,,,,
92,LND,,,,,,,,,,,,
93,LND,,,,,,,,,,,,
94,LND,,,,,,,,,,,,
95,LND,,,,,,,,,,,,
96,LND,,,,,,,,,,,,
97,LND,,,,,,,,,,,,
98,LND,,,,,,,,,,,,
99,LND,,,,,,,,,,,,
100,CLN,75,2240,84,46615,571,2928,0.63,4245093,100,10000000,100,10000000
101,LND,,,,,,,,,,,,
102,LND,,,,,,,,,,,,
103,LND,,,,,,,,,,,,
104,LND,,,,,,,,,,,,
105,LND,,,,,,,,,,,,
106,LND,,,,,,,,,,,,
107,LND,,,,,,,,,,,,
108,LND,,,,,,,,,,,,
109,LND,,,,,,,,,,,,
110,LND,,,,,,,,,,,,
111,LND,,,,,,,,,,,,
112,LND,,,,,,,,,,,,
113,LND,,,,,,,,,,,,
114,LND,,,,,,,,,,,,
115,LND,,,,,,,,,,,,
116,LND,,,,,,,,,,,,
117,LND,,,,,,,,,,,,
118,LND,,,,,,,,,,,,
119,LND,,,,,,,,,,,,
120,LND,,,,,,,,,,,,
121,LND,,,,,,,,,,,,
122,LND,,,,,,,,,,,,
123,CLN,55,1587,82,52298,650,2197,0.87,6136412,100,10000000,100,10000000
124,CLN,57,2480,98,52908,619,2387,0.63,6457279,100,10000000,100,10000000
125,LND,,,,,,,,,,,,
126,LND,,,,,,,,,,,,
127,LND,,,,,,,,,,,,
128,LND,,,,,,,,,,,,
129,LND,,,,,,,,,,,,
130,LND,,,,,,,,,,,,
131,LND,,,,,,,,,,,,
132,LND,,,,,,,,,,,,
133,LND,,,,,,,,,,,,
134,LND,,,,,,,,,,,,
135,LND,,,,,,,,,,,,
136,CLN,60,1699,113,53768,620,2204,0.88,9684262,100,10000000,100,10000000
137,LND,,,,,,,,,,,,
138,LND,,,,,,,,,,,,
139,LND,,,,,,,,,,,,
140,LND,,,,,,,,,,,,
141,LND,,,,,,,,,,,,
142,LND,,,,,,,,,,,,
143,LND,,,,,,,,,,,,
144,LND,,,,,,,,,,,,
145,LND,,,,,,,,,,,,
146,LND,,,,,,,,,,,,
147,LND,,,,,,,,,,,,
148,LND,,,,,,,,,,,,
149,LND,,,,,,,,,,,,
150,LND,,,,,,,,,,,,
151,LND,,,,,,,,,,,,
152,LND,,,,,,,,,,,,
153,LND,,,,,,,,,,,,
154,LND,,,,,,,,,,,,
155,LND,,,,,,,,,,,,
156,LND,,,,,,,,,,,,
157,LND,,,,,,,,,,,,
158,LND,,,,,,,,,,,,
159,LND,,,,,,,,,,,,
160,CLN,58,2220,88,45760,746,2413,0.81,1319416,100,10000000,100,10000000
161,LND,,,,,,,,,,,,
162,LND,,,,,,,,,,,,
163,LND,,,,,,,,,,,,
164,LND,,,,,,,,,,,,
165,LND,,,,,,,,,,,,
166,LND,,,,,,,,,,,,
167,LND,,,,,,,,,,,,
168,LND,,,,,,,,,,,,
169,LND,,,,,,,,,,,,
170,LND,,,,,,,,,,,,
171,LND,,,,,,,,,,,,
172,LND,,,,,,,,,,,,
173,LND,,,,,,,,,,,,
174,LND,,,,,,,,,,,,
175,LND,,,,,,,,,,,,
176,LND,,,,,,,,,,,,
177,LND,,,,,,,,,,,,
178,LND,,,,,,,,,,,,
179,LND,,,,,,,,,,,,
180,LND,,,,,,,,,,,,
181,LND,,,,,,,,,,,,
182,LND,,,,,,,,,,,,
183,LND,,,,,,,,,,,,
184,LND,,,,,,,,,,,,
185,LND,,,,,,,,,,,,
186,LND,,,,,,,,,,,,
187,CLN,59,1964,81,51821,671,2789,0.96,5365050,100,10000000,100,10000000
188,LND,,,,,,,,,,,,
189,LND,,,,,,,,,,,,
190,LND,,,,,,,,,,,,
191,CLN,56,1617,94,42391,606,2010,0.72,5064601,100,10000000,100,10000000
192,LND,,,,,,,,,,,,
193,LND,,,,,,,,,,,,
194,LND,,,,,,,,,,,,
195,LND,,,,,,,,,,,,
196,LND,,,,,,,,,,,,
197,LND,,,,,,,,,,,,
198,LND,,,,,,,,,,,,
199,LND,,,,,,,,,,,,
200,LND,,,,,,,,,,,,
201,CLN,65,1721,110,57037,658,2889,0.77,7043376,100,10000000,100,10000000
202,LND,,,,,,,,,,,,
203,LND,,,,,,,,,,,,
204,LND,,,,,,,,,,,,
205,LND,,,,,,,,,,,,
206,LND,,,,,,,,,,,,
207,LND,,,,,,,,,,,,
208,LND,,,,,,,,,,,,
209,LND,,,,,,,,,,,,
210,LND,,,,,,,,,,,,
211,LND,,,,,,,,,,,,
212,CLN,56,1650,87,40525,624,2863,0.6,7219037,100,10000000,100,10000000
213,CLN,72,1593,115,47691,759,2980,0.75,1200734,100,10000000,100,10000000
214,LND,,,,,,,,,,,,
215,LND,,,,,,,,,,,,
216,LND,,,,,,,,,,,,
217,LND,,,,,,,,,,,,
218,LND,,,,,,,,,,,,
219,LND,,,,,,,,,,,,
220,CLN,64,1606,91,44952,581,2245,0.61,161763,100,10000000,100,10000000
221,LND,,,,,,,,,,,,
222,LND,,,,,,,,,,,,
223,LND,,,,,,,,,,,,
224,LND,,,,,,,,,,,,
225,CLN,64,1915,103,41776,720,2911,0.67,4692867,100,10000000,100,10000000
226,LND,,,,,,,,,,,,
227,LND,,,,,,,,,,,,
228,LND,,,,,,,,,,,,
229,LND,,,,,,,,,,,,
230,LND,,,,,,,,,,,,
231,LND,,,,,,,,,,,,
232,CLN,72,2334,103,52655,665,2992,0.86,6115872,100,10000000,100,10000000
233,LND,,,,,,,,,,,,
234,LND,,,,,,,,,,,,
235,LND,,,,,,,,,,,,
236,LND,,,,,,,,,,,,
237,LND,,,,,,,,,,,,
238,LND,,,,,,,,,,,,
239,CLN,64,1888,99,44605,664,2442,0.94,8979230,100,10000000,100,10000000
240,LND,,,,,,,,,,,,
241,LND,,,,,,,,,,,,
242,LND,,,,,,,,,,,,
243,LND,,,,,,,,,,,,
244,CLN,61,2161,110,54664,603,2876,0.93,2761406,100,10000000,100,10000000
245,LND,,,,,,,,,,,,
246,LND,,,,,,,,,,,,
247,LND,,,,,,,,,,,,
248,LND,,,,,,,,,,,,
249,LND,,,,,,,,,,,,
250,LND,,,,,,,,,,,,
251,LND,,,,,,,,,,,,
252,LND,,,,,,,,,,,,
253,CLN,65,1835,81,57311,615,2153,0.72,105568,100,10000000,100,10000000
254,LND,,,,,,,,,,,,
255,LND,,,,,,,,,,,,
256,LND,,,,,,,,,,,,
257,LND,,,,,,,,,,,,
258,LND,,,,,,,,,,,,
259,LND,,,,,,,,,,,,
260,LND,,,,,,,,,,,,
261,LND,,,,,,,,,,,,
262,LND,,,,,,,,,,,,
263,LND,,,,,,,,,,,,
264,LND,,,,,,,,,,,,
265,LND,,,,,,,,,,,,
266,LND,,,,,,,,,,,,
267,LND,,,,,,,,,,,,
268,LND,,,,,,,,,,,,
269,LND,,,,,,,,,,,,
270,LND,,,,,,,,,,,,
271,LND,,,,,,,,,,,,
272,LND,,,,,,,,,,,,
273,LND,,,,,,,,,,,,
274,LND,,,,,,,,,,,,
275,LND,,,,,,,,,,,,
276,LND,,,,,,,,,,,,
277,LND,,,,,,,,,,,,
278,LND,,,,,,,,,,,,
279,LND,,,,,,,,,,,,
280,LND,,,,,,,,,,,,
281,LND,,,,,,,,,,,,
282,LND,,,,,,,,,,,,
283,LND,,,,,,,,,,,,
284,LND,,,,,,,,,,,,
285,LND,,,,,,,,,,,,
286,LND,,,,,,,,,,,,
287,LND,,,,,,,,,,,,
288,LND,,,,,,,,,,,,
289,LND,,,,,,,,,,,,
290,LND,,,,,,,,,,,,
291,LND,,,,,,,,,,,,
292,LND,,,,,,,,,,,,
293,LND,,,,,,,,,,,,
294,LND,,,,,,,,,,,,
295,LND,,,,,,,,,,,,
296,LND,,,,,,,,,,,,
297,LND,,,,,,,,,,,,
298,LND,,,,,,,,,,,,
299,LND,,,,,,,,,,,,
300,LND,,,,,,,,,,,,
301,LND,,,,,,,,,,,,
302,LND,,,,,,,,,,,,
303,LND,,,,,,,,,,,,
304,LND,,,,,,,,,,,,
305,LND,,,,,,,,,,,,
306,LND,,,,,,,,,,,,
307,LND,,,,,,,,,,,,
308,LND,,,,,,,,,,,,
309,LND,,,,,,,,,,,,
310,LND,,,,,,,,,,,,
311,CLN,59,2042,93,46314,756,2245,0.77,2206132,100,10000000,100,10000000
312,LND,,,,,,,,,,,,
313,LND,,,,,,,,,,,,
314,LND,,,,,,,,,,,,
315,LND,,,,,,,,,,,,
316,LND,,,,,,,,,,,,
317,LND,,,,,,,,,,,,
318,LND,,,,,,,,,,,,
319,LND,,,,,,,,,,,,
320,LND,,,,,,,,,,,,
321,LND,,,,,,,,,,,,
322,LND,,,,,,,,,,,,
323,LND,,,,,,,,,,,,
324,LND,,,,,,,,,,,,
325,LND,,,,,,,,,,,,
326,LND,,,,,,,,,,,,
327,LND,,,,,,,,,,,,
328,LND,,,,,,,,,,,,
329,LND,,,,,,,,,,,,
330,LND,,,,,,,,,,,,
331,LND,,,,,,,,,,,,
332,LND,,,,,,,,,,,,
333,LND,,,,,,,,,,,,
334,LND,,,,,,,,,,,,
335,LND,,,,,,,,,,,,
336,LND,,,,,,,,,,,,
337,LND,,,,,,,,,,,,
338,LND,,,,,,,,,,,,
339,LND,,,,,,,,,,,,
340,LND,,,,,,,,,,,,
341,LND,,,,,,,,,,,,
342,LND,,,,,,,,,,,,
343,LND,,,,,,,,,,,,
344,LND,,,,,,,,,,,,
345,LND,,,,,,,,,,,,
346,LND,,,,,,,,,,,,
347,LND,,,,,,,,,,,,
348,CLN,61,1652,92,50547,730,2823,0.76,4279190,100,10000000,100,10000000
349,LND,,,,,,,,,,,,
350,LND,,,,,,,,,,,,
351,LND,,,,,,,,,,,,
352,LND,,,,,,,,,,,,
353,LND,,,,,,,,,,,,
354,LND,,,,,,,,,,,,
355,LND,,,,,,,,,,,,
356,LND,,,,,,,,,,,,
357,LND,,,,,,,,,,,,
358,LND,,,,,,,,,,,,
359,LND,,,,,,,,,,,,
360,LND,,,,,,,,,,,,
361,LND,,,,,,,,,,,,
362,LND,,,,,,,,,,,,
363,LND,,,,,,,,,,,,
364,CLN,69,2032,99,42133,719,2254,0.61,357757,100,10000000,100,10000000
365,LND,,,,,,,,,,,,
366,LND,,,,,,,,,,,,
367,LND,,,,,,,,,,,,
368,LND,,,,,,,,,,,,
369,LND,,,,,,,,,,,,
370,CLN,66,2191,108,58924,573,2848,0.79,6608954,100,10000000,100,10000000
371,LND,,,,,,,,,,,,
372,LND,,,,,,,,,,,,
373,LND,,,,,,,,,,,,
374,LND,,,,,,,,,,,,
375,LND,,,,,,,,,,,,
376,LND,,,,,,,,,,,,
377,LND,,,,,,,,,,,,
378,LND,,,,,,,,,,,,
379,LND,,,,,,,,,,,,
380,LND,,,,,,,,,,,,
381,LND,,,,,,,,,,,,
382,LND,,,,,,,,,,,,
383,LND,,,,,,,,,,,,
384,LND,,,,,,,,,,,,
385,LND,,,,,,,,,,,,
386,LND,,,,,,,,,,,,
387,LND,,,,,,,,,,,,
388,LND,,,,,,,,,,,,
389,LND,,,,,,,,,,,,
390,LND,,,,,,,,,,,,
391,LND,,,,,,,,,,,,
392,LND,,,,,,,,,,,,
393,LND,,,,,,,,,,,,
394,CLN,56,2346,112,42666,718,2166,0.62,77429,100,10000000,100,10000000
395,LND,,,,,,,,,,,,
396,CLN,75,1531,83,47978,648,2372,0.66,5648725,100,10000000,100,10000000
397,LND,,,,,,,,,,,,
398,LND,,,,,,,,,,,,
399,LND,,,,,,,,,,,,
400,LND,,,,,,,,,,,,
401,LND,,,,,,,,,,,,
402,CLN,69,1706,93,55724,749,2877,0.82,2511316,100,10000000,100,10000000
403,LND,,,,,,,,,,,,
404,LND,,,,,,,,,,,,
405,LND,,,,,,,,,,,,
406,LND,,,,,,,,,,,,
407,LND,,,,,,,,,,,,
408,CLN,74,1865,96,45590,652,2318,0.67,5134232,100,10000000,100,10000000
409,LND,,,,,,,,,,,,
410,LND,,,,,,,,,,,,
411,LND,,,,,,,,,,,,
412,LND,,,,,,,,,,,,
413,LND,,,,,,,,,,,,
414,LND,,,,,,,,,,,,
415,LND,,,,,,,,,,,,
416,LND,,,,,,,,,,,,
417,LND,,,,,,,,,,,,
418,LND,,,,,,,,,,,,
419,LND,,,,,,,,,,,,
420,LND,,,,,,,,,,,,
421,LND,,,,,,,,,,,,
422,LND,,,,,,,,,,,,
423,LND,,,,,,,,,,,,
424,LND,,,,,,,,,,,,
425,LND,,,,,,,,,,,,
426,CLN,68,1971,83,54160,598,2564,0.89,6211397,100,10000000,100,10000000
427,LND,,,,,,,,,,,,
428,LND,,,,,,,,,,,,
429,CLN,73,1561,117,47465,744,2214,0.69,2829108,100,10000000,100,10000000
430,LND,,,,,,,,,,,,
431,LND,,,,,,,,,,,,
432,LND,,,,,,,,,,,,
433,LND,,,,,,,,,,,,
434,LND,,,,,,,,,,,,
435,LND,,,,,,,,,,,,
436,LND,,,,,,,,,,,,
437,LND,,,,,,,,,,,,
438,LND,,,,,,,,,,,,
439,LND,,,,,,,,,,,,
440,LND,,,,,,,,,,,,
441,LND,,,,,,,,,,,,
442,LND,,,,,,,,,,,,
443,LND,,,,,,,,,,,,
444,LND,,,,,,,,,,,,
445,LND,,,,,,,,,,,,
446,LND,,,,,,,,,,,,
447,LND,,,,,,,,,,,,
448,LND,,,,,,,,,,,,
449,LND,,,,,,,,,,,,
450,LND,,,,,,,,,,,,
451,LND,,,,,,,,,,,,
452,LND,,,,,,,,,,,,
453,LND,,,,,,,,,,,,
454,LND,,,,,,,,,,,,
455,LND,,,,,,,,,,,,
456,LND,,,,,,,,,,,,
457,CLN,69,1823,94,46573,676,2508,0.89,9353114,100,10000000,100,10000000
458,LND,,,,,,,,,,,,
459,LND,,,,,,,,,,,,
460,LND,,,,,,,,,,,,
461,LND,,,,,,,,,,,,
462,LND,,,,,,,,,,,,
463,LND,,,,,,,,,,,,
464,LND,,,,,,,,,,,,
465,CLN,60,2188,117,58509,757,2415,0.79,3938432,100,10000000,100,10000000
466,LND,,,,,,,,,,,,
467,LND,,,,,,,,,,,,
468,LND,,,,,,,,,,,,
469,LND,,,,,,,,,,,,
470,LND,,,,,,,,,,,,
471,LND,,,,,,,,,,,,
472,LND,,,,,,,,,,,,
473,LND,,,,,,,,,,,,
474,CLN,70,1696,105,59188,663,2172,0.96,4265252,100,10000000,100,10000000
475,LND,,,,,,,,,,,,
476,LND,,,,,,,,,,,,
477,CLN,70,2018,86,51450,633,2037,0.95,8181752,100,10000000,100,10000000
478,LND,,,,,,,,,,,,
479,LND,,,,,,,,,,,,
480,LND,,,,,,,,,,,,
481,LND,,,,,,,,,,,,
482,LND,,,,,,,,,,,,
483,LND,,,,,,,,,,,,
484,LND,,,,,,,,,,,,
485,LND,,,,,,,,,,,,
486,CLN,67,2241,112,54526,740,2811,0.84,3397343,100,10000000,100,10000000
487,CLN,71,2470,109,47494,699,2281,0.98,6534833,100,10000000,100,10000000
488,LND,,,,,,,,,,,,
489,LND,,,,,,,,,,,,
490,LND,,,,,,,,,,,,
491,LND,,,,,,,,,,,,
492,LND,,,,,,,,,,,,
493,LND,,,,,,,,,,,,
494,LND,,,,,,,,,,,,
495,LND,,,,,,,,,,,,
496,LND,,,,,,,,,,,,
497,LND,,,,,,,,,,,,
498,LND,,,,,,,,,,,,
499,LND,,,,,,,,,,,,
500,LND,,,,,,,,,,,,
501,LND,,,,,,,,,,,,
502,LND,,,,,,,,,,,,
503,LND,,,,,,,,,,,,
504,CLN,61,2306,87,41987,569,2575,0.69,4757007,100,10000000,100,10000000
505,LND,,,,,,,,,,,,
506,LND,,,,,,,,,,,,
507,CLN,56,2256,83,54688,580,2084,0.96,2854768,100,10000000,100,10000000
508,LND,,,,,,,,,,,,
509,LND,,,,,,,,,,,,
510,LND,,,,,,,,,,,,
511,LND,,,,,,,,,,,,
512,LND,,,,,,,,,,,,
513,LND,,,,,,,,,,,,
514,LND,,,,,,,,,,,,
515,LND,,,,,,,,,,,,
516,LND,,,,,,,,,,,,
517,LND,,,,,,,,,,,,
518,LND,,,,,,,,,,,,
519,LND,,,,,,,,,,,,
520,LND,,,,,,,,,,,,
521,LND,,,,,,,,,,,,
522,LND,,,,,,,,,,,,
523,LND,,,,,,,,,,,,
524,LND,,,,,,,,,,,,
525,LND,,,,,,,,,,,,
526,LND,,,,,,,,,,,,
527,LND,,,,,,,,,,,,
528,LND,,,,,,,,,,,,
529,LND,,,,,,,,,,,,
530,LND,,,,,,,,,,,,
531,LND,,,,,,,,,,,,
532,LND,,,,,,,,,,,,
533,LND,,,,,,,,,,,,
534,LND,,,,,,,,,,,,
535,LND,,,,,,,,,,,,
536,LND,,,,,,,,,,,,
537,CLN,56,2047,118,57451,659,2227,0.84,101189,100,10000000,100,10000000
538,LND,,,,,,,,,,,,
539,LND,,,,,,,,,,,,
540,LND,,,,,,,,,,,,
541,LND,,,,,,,,,,,,
542,LND,,,,,,,,,,,,
543,LND,,,,,,,,,,,,
544,CLN,65,2010,90,40460,598,2682,0.92,4755732,100,10000000,100,10000000
545,LND,,,,,,,,,,,,
546,LND,,,,,,,,,,,,
547,LND,,,,,,,,,,,,
548,LND,,,,,,,,,,,,
549,LND,,,,,,,,,,,,
550,LND,,,,,,,,,,,,
551,CLN,57,1816,81,58022,724,2202,0.8,6127887,100,10000000,100,10000000
552,LND,,,,,,,,,,,,
553,LND,,,,,,,,,,,,
554,LND,,,,,,,,,,,,
555,LND,,,,,,,,,,,,
556,LND,,,,,,,,,,,,
557,LND,,,,,,,,,,,,
558,LND,,,,,,,,,,,,
559,LND,,,,,,,,,,,,
560,LND,,,,,,,,,,,,
561,LND,,,,,,,,,,,,
562,LND,,,,,,,,,,,,
563,LND,,,,,,,,,,,,
564,LND,,,,,,,,,,,,
565,LND,,,,,,,,,,,,
566,LND,,,,,,,,,,,,
567,LND,,,,,,,,,,,,
568,LND,,,,,,,,,,,,
569,LND,,,,,,,,,,,,
570,LND,,,,,,,,,,,,
571,LND,,,,,,,,,,,,
572,LND,,,,,,,,,,,,
573,LND,,,,,,,,,,,,
574,LND,,,,,,,,,,,,
575,LND,,,,,,,,,,,,
576,LND,,,,,,,,,,,,
577,LND,,,,,,,,,,,,
578,LND,,,,,,,,,,,,
579,CLN,72,2111,108,43449,704,2503,0.79,5986186,100,10000000,100,10000000
580,CLN,60,1880,104,53477,651,2665,0.88,8302181,100,10000000,100,10000000
581,LND,,,,,,,,,,,,
582,LND,,,,,,,,,,,,
583,LND,,,,,,,,,,,,
584,CLN,65,1755,111,58614,743,2068,0.83,2615772,100,10000000,100,10000000
585,LND,,,,,,,,,,,,
586,LND,,,,,,,,,,,,
587,LND,,,,,,,,,,,,
588,LND,,,,,,,,,,,,
589,LND,,,,,,,,,,,,
590,LND,,,,,,,,,,,,
591,CLN,74,2078,115,42379,753,2419,0.93,9825088,100,10000000,100,10000000
592,LND,,,,,,,,,,,,
593,LND,,,,,,,,,,,,
594,LND,,,,,,,,,,,,
595,LND,,,,,,,,,,,,
596,LND,,,,,,,,,,,,
597,LND,,,,,,,,,,,,
598,CLN,62,2042,117,41305,624,2208,0.97,9078482,100,10000000,100,10000000
599,LND,,,,,,,,,,,,
600,LND,,,,,,,,,,,,
601,CLN,60,1829,94,43949,726,2391,0.71,978096,100,10000000,100,10000000
602,LND,,,,,,,,,,,,
603,LND,,,,,,,,,,,,
604,LND,,,,,,,,,,,,
605,LND,,,,,,,,,,,,
606,LND,,,,,,,,,,,,
607,LND,,,,,,,,,,,,
608,LND,,,,,,,,,,,,
609,LND,,,,,,,,,,,,
610,LND,,,,,,,,,,,,
611,LND,,,,,,,,,,,,
612,LND,,,,,,,,,,,,
613,LND,,,,,,,,,,,,
614,LND,,,,,,,,,,,,
615,CLN,57,2110,107,52193,678,2178,0.74,8241773,100,10000000,100,10000000
616,LND,,,,,,,,,,,,
617,LND,,,,,,,,,,,,
618,LND,,,,,,,,,,,,
619,LND,,,,,,,,,,,,
620,LND,,,,,,,,,,,,
621,LND,,,,,,,,,,,,
622,LND,,,,,,,,,,,,
623,LND,,,,,,,,,,,,
624,LND,,,,,,,,,,,,
625,LND,,,,,,,,,,,,
626,LND,,,,,,,,,,,,
627,LND,,,,,,,,,,,,
628,LND,,,,,,,,,,,,
629,LND,,,,,,,,,,,,
630,LND,,,,,,,,,,,,
631,LND,,,,,,,,,,,,
632,LND,,,,,,,,,,,,
633,LND,,,,,,,,,,,,
634,LND,,,,,,,,,,,,
635,CLN,70,2344,114,56662,697,2069,0.73,5863203,100,10000000,100,10000000
636,LND,,,,,,,,,,,,
637,LND,,,,,,,,,,,,
638,LND,,,,,,,,,,,,
639,LND,,,,,,,,,,,,
640,LND,,,,,,,,,,,,
641,LND,,,,,,,,,,,,
642,LND,,,,,,,,,,,,
643,LND,,,,,,,,,,,,
644,LND,,,,,,,,,,,,
645,LND,,,,,,,,,,,,
646,LND,,,,,,,,,,,,
647,LND,,,,,,,,,,,,
648,LND,,,,,,,,,,,,
649,CLN,69,2226,80,40011,581,2252,0.61,9505893,100,10000000,100,10000000
650,LND,,,,,,,,,,,,
651,LND,,,,,,,,,,,,
652,LND,,,,,,,,,,,,
653,LND,,,,,,,,,,,,
654,LND,,,,,,,,,,,,
655,LND,,,,,,,,,,,,
656,LND,,,,,,,,,,,,
657,LND,,,,,,,,,,,,
658,LND,,,,,,,,,,,,
659,CLN,72,2444,85,46152,590,2829,0.77,6456514,100,10000000,100,10000000
660,LND,,,,,,,,,,,,
661,LND,,,,,,,,,,,,
662,LND,,,,,,,,,,,,
663,LND,,,,,,,,,,,,
664,LND,,,,,,,,,,,,
665,LND,,,,,,,,,,,,
666,LND,,,,,,,,,,,,
667,LND,,,,,,,,,,,,
668,LND,,,,,,,,,,,,
669,LND,,,,,,,,,,,,
670,CLN,56,1745,95,58674,676,2715,0.63,9783288,100,10000000,100,10000000
671,LND,,,,,,,,,,,,
672,LND,,,,,,,,,,,,
673,LND,,,,,,,,,,,,
674,LND,,,,,,,,,,,,
675,LND,,,,,,,,,,,,
676,LND,,,,,,,,,,,,
677,LND,,,,,,,,,,,,
678,LND,,,,,,,,,,,,
679,LND,,,,,,,,,,,,
680,LND,,,,,,,,,,,,
681,LND,,,,,,,,,,,,
682,LND,,,,,,,,,,,,
683,LND,,,,,,,,,,,,
684,LND,,,,,,,,,,,,
685,LND,,,,,,,,,,,,
686,LND,,,,,,,,,,,,
687,LND,,,,,,,,,,,,
688,LND,,,,,,,,,,,,
689,LND,,,,,,,,,,,,
690,LND,,,,,,,,,,,,
691,LND,,,,,,,,,,,,
692,CLN,60,1702,104,51488,665,2383,0.77,7150424,100,10000000,100,10000000
693,LND,,,,,,,,,,,,
694,LND,,,,,,,,,,,,
695,LND,,,,,,,,,,,,
696,LND,,,,,,,,,,,,
697,LND,,,,,,,,,,,,
698,LND,,,,,,,,,,,,
699,LND,,,,,,,,,,,,
700,LND,,,,,,,,,,,,
701,LND,,,,,,,,,,,,
702,LND,,,,,,,,,,,,
703,CLN,59,2394,96,41881,646,2077,0.68,1747260,100,10000000,100,10000000
704,LND,,,,,,,,,,,,
705,LND,,,,,,,,,,,,
706,LND,,,,,,,,,,,,
707,LND,,,,,,,,,,,,
708,LND,,,,,,,,,,,,
709,LND,,,,,,,,,,,,
710,CLN,59,1927,99,40156,645,2872,0.97,1443622,100,10000000,100,10000000
711,LND,,,,,,,,,,,,
712,LND,,,,,,,,,,,,
713,LND,,,,,,,,,,,,
714,LND,,,,,,,,,,,,
715,LND,,,,,,,,,,,,
716,LND,,,,,,,,,,,,
717,LND,,,,,,,,,,,,
718,LND,,,,,,,,,,,,
719,LND,,,,,,,,,,,,
720,LND,,,,,,,,,,,,
721,LND,,,,,,,,,,,,
722,LND,,,,,,,,,,,,
723,LND,,,,,,,,,,,,
724,LND,,,,,,,,,,,,
725,LND,,,,,,,,,,,,
726,LND,,,,,,,,,,,,
727,LND,,,,,,,,,,,,
