id,open_edges
467,1007
468,1008-25305-39893-40163-40821-52584-52991-74099-107621
469,1013-103979
470,1015-2139
471,1017-66681
472,1018-17462-24816-26640-27288-31166-38892-39726-57500-61328-75319-75716-77886-79533-80001-80692-83208-100906-111520
473,1020-3456-5448-15944-26646-30800-32648-35126-40628-44504-44622-48144-53272-54664-63445-63768-63834-63845-65118-65404-66282-67411-67780-67827-69882-71262-72428-72665-72898-74062-74422-74870-76709-76906-77760-79442-79748-81357-81437-84352-85022-85746-87758-89512-90469-91656-91934-92560-94912-95356-96413-96760-100834-106466-107446-107472-109380-111398-112414-113015-113566-114632
474,1022-2906-16612-19316-21884-26322-33690-34688-38894-40406-45326-53366-53626-58448-59016-59980-61206-71694-74468-77178-83288-83458-91584-93474-100432-100624-103494-105474-108414-111232-114016
475,1027-7867-99779-106575
476,1029-1413-4277-13047-14001-14555-19155-20661-24445-26437-26879-27425-27879-30333-31122-37591-37676-37972-38351-38530-38629-38639-38699-38791-38813-39031-39085-39205-39329-39827-40245-41233-41286-41555-41857-42269-43561-43831-43919-44113-44937-45173-45309-45384-46052-46589-46856-47329-48713-48863-49885-50107-51255-51677-51773-52749-53149-53233-53817-54361-54553-55109-56016-56399-56571-56605-57413-58214-58425-58487-58661-58803-59381-60697-61093-62387-62547-62727-63463-63690-64195-64341-64355-64761-65682-65768-65794-65959-66155-66843-66871-67091-67173-67263-68079-68197-68415-69283-69369-69581-69708-70387-71011-71394-72089-72543-72677-72721-72917-73223-73757-74017-74269-75689-75993-77399-78175-78605-79017-79081-79175-79317-80571-81443-82061-82089-82471-82729-82965-84739-84788-85063-85233-85301-85412-85505-85565-85850-85891-86355-87835-87839-87880-88127-89411-89421-89465-90047-90925-90935-91153-91167-91801-91817-92053-92748-92955-93553-93744-94310-94321-94336-94895-95405-95657-95763-95879-96133-96136-96371-96407-96807-98553-98555-100485-100515-100654-101191-101225-102979-103289-103325-103413-103433-103444-103478-103624-103973-104015-104573-105843-105927-105960-106005-106133-106257-106687-107289-107331-107406-107520-108257-109245-109513-110116-110389-110414-110431-110873-110931-111089-111107-111426-111689-111729-112699-112821-112889-113173-113275-113403-113555-114233-114629
477,1030-6621-9406-20256-27017-29834-36220-37353-38113-39120-39515-40144-41163-43125-45569-46451-49418-50329-51324-55674-56997-58118-60021-60903-64434-64622-69933-71631-76192-77421-80717-80735-82857-83163-83830-84241-87083-87878-89596-91822-91961-93337-93985-98100-98140-101530-101838-103150-104357-104635-106655-108619-110344-110911-111630-112545-113424-114273-114349
478,1033-3671
479,1035-2804-36596
480,1036-10774-19364-31104-49007-50979-63423-68189-73447-84890-88936-95469-112848
481,1038-26828
482,1040-6360-13516-24799-25564-30754-39251-41859-43270-43671-44246-44501-44980-45056-46796-48621-50698-51292-51688-51781-51977-52098-53923-56665-58679-59278-60483-60582-60705-64280-64899-65120-65407-65911-69382-71218-72347-72524-75156-76025-76915-78018-78342-78978-79354-80974-81327-88360-88681-88986-89840-92106-96710-96788-100720-102523-102776-103602-103646-106098-106902-110522-111184-111925
483,1043
484,1044-1246-1812-2108-7746-8078-8556-8898-9594-12474-23796-25922-36432-38100-38511-38820-40316-41542-41544-41720-41934-42582-43006-43520-44233-45088-46412-47086-48301-48379-49229-50438-50820-51030-51496-53459-54017-54826-54962-56102-57261-57730-57881-58036-58926-59506-60190-60560-61362-61938-63770-67668-67851-68024-70290-70778-71704-71732-72166-72298-73603-75158-75212-76498-76688-77004-77061-77478-78662-80044-80488-80768-80984-82812-82886-83054-84028-84904-85360-85418-85466-86288-88382-88750-91529-91757-92510-93378-93506-94950-95008-95230-95916-96202-96442-96934-97143-99634-99640-100778-101474-102402-102662-105376-109046-111450-112136-114419
485,1046-60854-65668
486,1048-3370-3760-8468-9610-12427-12866-15008-16244-16490-17680-17728-19446-19964-20058-20966-21620-22312-23732-32554-32888-33388-34148-35634-37580-37712-38555-39508-39748-40460-40783-41736-42074-42505-42573-43674-44279-44666-44686-46752-46909-48496-48677-48842-49363-50149-50887-51332-52499-53867-54448-55073-56156-56159-56548-56891-57380-57620-58741-59245-59462-59654-59700-60029-60108-60580-61541-62490-62778-63177-63180-63504-64487-65330-65508-66799-67078-67770-68109-69615-71288-71706-73911-75524-76640-77277-77313-77682-78042-78170-78193-79121-79375-79811-79916-79930-79955-81448-81710-81836-81915-82847-83456-83635-84186-84865-85048-85379-87025-88069-88156-89099-89780-90313-92530-93512-93572-94697-95364-95770-96221-97951-98092-98725-98897-99424-100497-101617-102075-102782-103052-103193-103654-104452-105099-105695-106350-107623-108051-108288-108307-108900-108978-109263-109376-109733-110076-110080-112816
487,1051-35449-42013
488,1053-21677-34003-38063-42791-44551-56453-62765-67729-74063-81209-84911-85887-90247-92547-99011-99217-103855-108453
489,1058-33662-72458
490,1063-32215-37543-45323-108789
491,1067-7675-30591-48999-50755-58095-61327-72779-91711-96183-108869
492,1068-95966
493,1071-46776-112441
494,1073-1369-2487-30231-30913-33085-37405-50907-51327-54439-54911-56225-61999-72003-77748-78591-86421-95234-96719-97067-102267-110323-111685
495,1074
496,1076
497,1078-3088-6622-12994-15212-16308-23524-25494-26874-28475-30766-31408-33714-38632-38840-40929-41578-42596-45089-45352-47078-47670-49133-49806-51254-51826-51964-52817-53672-54004-55170-56671-58568-62358-63249-64278-65712-65913-66472-67461-68269-70551-70877-71306-72667-74566-75079-75166-77214-78182-79672-79686-80236-81610-81702-81863-81992-82428-82976-83864-83879-85610-86029-86375-87225-87824-88172-88846-91486-92512-93461-95669-97462-98556-100273-103115-103274-103306-103510-103954-106400-108088-108158-108470-108662-108948-110558-110570-110922-111438-112377-112552-113792
498,1081-20942-32318-39050-39814-41851-41990-42685-43879-44888-45692-46107-46150-46471-47110-47185-47602-47656-47951-49151-49555-50461-50594-52787-52917-53819-55972-58252-59441-61217-61989-64026-64036-64054-64149-64969-65023-65202-65434-66070-68798-69357-69550-70959-71329-71689-72368-73110-73651-74506-75176-75314-75739-75809-77139-77998-78920-79501-83562-83577-84266-84707-84913-85199-85837-86019-86818-88336-89634-90438-90693-92355-93143-93701-93900-94119-94422-95351-96424-97637-97721-98151-98312-98767-99284-103133-104151-104701-107174-110187-110282-110516-113148-113484-114173-114367
499,1083-3576-4577-17324-29344-30808-34090-51871-54838-56896-59687-60953-66307-76856-78449-79400-83315-90085-94846-106403-110616
500,1084-22067-36604
501,1086-7080-16344-31726-36567-38399-38520-39771-40963-42045-44244-45113-52330-52456-53555-59122-60172-60861-62843-64397-66289-66989-73838-75087-79559-79725-79895-82389-85281-85784-90859-90906-91146-91219-93177-94147-94789-95069-96450-99155-107254-107986-111042
502,1089-23734-25740-44901-61227-81243-88133
503,1092-12834-25506-37882-38022-38842-39252-39298-39460-41146-42178-44322-47980-53236-54382-54810-55118-55174-57220-58824-60671-63894-66754-67368-67714-68802-69460-73328-74316-74494-77918-78682-78930-80076-80216-80875-80958-82212-82473-84806-100694-101794-106441-110978-114036
504,1095-34925-45897
505,1097
506,1098-23208-45592-50554-52324-56486-63236-74754-78546-91754-91870-102922-104762-111486-112194
507,1101-18993-21489-29085-31205-45477-64027-102895
508,1102-31474
509,1104-2444-4496-10652-21332-28262-35874-39262-40958-41042-41498-50994-51682-53238-62576-65501-66102-66874-67380-72336-75028-77980-78032-78284-80678-82536-84804-89258-90342-92264-92756-94620-94860-96454-96792-98212-99564-99912-103428-103636-104448-105688-106616-106736-107282-114338
510,1106-5622-6682-19238-22154-22460-27122-35770-37266-40230-45590-64030-66850-67710-78650-101772-112098
511,1109-26958-57638-99621
512,1110-7562-7918-16882-41850-100428
513,1113-13679-20879-27358-28403-30787-31154-33803-36836-40715-41059-42537-46873-47277-48131-48802-49071-52287-55815-56429-57107-58464-59130-61772-62014-66737-73121-75888-76129-78663-80291-81622-83187-84660-88653-88989-90325-91083-97249-98912-99265-114628
514,1114-35916-44050
515,1116-5082-21096-26034-37808-64225-95425
516,1123-8971
517,1124-4196-13697-23358-23376-33684-37672-37984-38940-41461-44068-45350-45882-47870-48028-51920-52200-55138-56384-60770-61091-61853-62732-62953-66794-69067-72137-72475-74258-74843-75184-77392-77604-77827-78776-82646-83526-84116-86494-86800-87105-94057-94905-98438-98493-98664-98709-99338-100346-100937-102012-102530-104186-106076-110243-110550-111247-114623
518,1126-2778-3202-12160-13146-13836-15023-22688-23452-27472-28502-30674-31116-35942-37838-42491-52673-68371-73722-74298-76922-79692-83364-88496-90992-94200-94410-100311-104816-106821-110508-113894
519,1128-19015-46890-56719-62963-63331-64594-67134-76541-83007-86192-90037-93801-97077-101439-108990
520,1131
521,1136-10422-16811-74928
522,1139-40780-49400-71447-84945-96970-98107-101973
523,1140-1606-17864-20360-22230-27256-40372-44454-44946-46944-55552-57519-63640-73774-77108-87718-94383-94876-102654-105660-106464
524,1143
525,1144-3056-4180-5358-6558-12528-12992-14146-16110-16140-18594-19026-24496-25280-28079-31289-32488-32976-34855-38669-38985-39499-40004-40890-42392-42482-42590-42703-42834-43074-43466-45046-45247-45735-46907-46984-47386-47472-47858-48052-48258-48518-48969-49878-51979-52841-52895-54572-55252-55612-56297-57147-57670-59376-59633-60266-60302-60386-60545-61482-61610-63206-64226-64941-66228-67515-69416-70425-71629-72878-73636-74629-74732-77366-77846-78531-80088-81368-81860-82540-83446-83975-84415-87376-87669-88057-88178-88928-89700-89711-92172-93153-93247-94165-95037-95546-95736-96583-96598-98089-98348-98840-99796-99938-100000-100309-100525-100548-100728-101151-101161-101727-101896-102484-103149-103772-103835-104101-105450-105620-105803-108305-109400-109447-110047-112580-113284-113979-114601
526,1146-1269-12220-23650-38849-49485-55786-55804-59886-65865-68427-73505-84969-88151-90353-96537-97534-103386-107721-109698
527,1148-10585-26788-43550-46161-62216-64799-76386-76518-77797-88402-103255
528,1151
529,1152-30994-43982-62672-82482-82826-111474-113134-114120
530,1155-101059
531,1156-22072-26539-27318-34477-47292-49073-62396-63748-79924-92741-95767-98833-103902
532,1158-13042-37736-38935-87440
533,1162-2387-4218-8935-12004-12073-22088-25457-39723-41750-41965-44808-45683-46735-47717-47943-49005-54518-59136-61344-61759-66862-70874-73440-78764-80217-87846-96451-96700-100331-100987-103406-105552-109500-113058
534,1164-17280-58178
535,1166-11810-16663-25816-34574-35699-36028-60230-63433-64770-66056-70774-74286-81948-86736-99170-104147-105928
536,1169-1424-43387-96368
537,1170-27885-49483-71027
538,1172-4572-6141-27432-37711-43066-45376-69558-104706-114766
539,1174-10833-15904-22574-26602-31683-34786-36838-37163-39410-39603-39729-40154-40447-40462-44129-44538-48402-48744-49497-50099-50778-51121-52139-52453-55298-57644-59950-62503-65420-65747-66223-68715-69808-72233-74789-76465-78107-78883-81292-82380-82742-85865-85949-86207-86894-87356-91433-91891-93275-94258-95651-96523-96793-97132-97610-99491-100001-104097-108406-111360-111954-112165-113011-113136-114265-114310
540,1177-5594-32556
541,1180-4926-17940-37620-42903-67773-69716-73863-77090-82526
542,1183-7933-58772-77026
543,1184-77190-81419
544,1187
545,1190
546,1192-8520-31144-38395-38784-38962-45076-47739-47860-48917-49448-53266-53778-54512-55662-56066-60790-61551-61810-63435-65020-66558-66802-68022-70312-71916-74458-77094-82172-83152-86134-90521-95470-96140-97264-97846-101782-104046-109634-110278-113650-113959
547,1194-10014-19270-27824-33212-38686-78664-97180-102278
548,1197-35331-37401-37747-38956-41217-41475-42073-42237-45497-48235-49712-49715-49933-50153-50678-54587-54686-54983-57151-58940-59222-61539-62289-64782-71370-75208-76364-80772-82936-85676-90417-91340-91605-92654-94140-95821-98230-99331-104836-105367-105627-105865-106058-106485-109484-109880-110813-111871-113338-114556
549,1198-5002-19013-29014-34766-45135-46253-46745-57364-71836-77362-78561-81226-81475-90042-114359
550,1203-2583-84862-98188
551,1205-2097-20776-25643-35223
552,1206-8825-9199-9431-9929-22555-27367-41804-44037-47939-51570-55740-59873-61685-64222-64491-65389-66499-69061-70605-74433-75169-75236-75445-80490-82797-84645-85661-86221-88326-89703-91606-91966-93759-95621-101529-106211-112207-114665-114852
553,1210-11611-12694-21980-22692-32066-40341-43495-44448-45095-46753-49376-51101-52153-53478-55654-66875-67631-68984-69005-70161-70171-70189-76447-78857-81121-81256-84480-84495-87343-90560-92317-94143-96169-97694-98627-98792-99901-100340-101899-103474-107903-110548
554,1212-26214-30528-30686-35014-37421-37441-37899-40405-40827-41732-42223-42633-42836-44547-50370-50742-51291-51985-52364-53181-54147-55053-56329-56457-57722-58839-59631-59635-59715-59929-61350-62190-64966-66448-67095-68202-68285-70371-72568-75007-75203-75735-77105-78760-79440-79607-80081-80250-80553-81469-81627-81975-83350-84717-85380-86616-86732-89298-90599-91516-91880-94182-94493-94711-95139-96524-97623-100829-102437-102801-103021-105067-105799-106156-108212-108564-109219-110691-111078-114138-114317
555,1215-3445-5385-11839-15785-18103-18807-33519-36741-37471-37507-46537-47605-50587-54605-59685-61469-63059-74551-76873-79847-80155-87257-87403-89201-100679-102483-113469
556,1217-15098
557,1219-3387-52685-55567-55677-56377-60043-64201-72135-77327-78487-79707-80335-82791-83965-84673-84983-87431-89347-93655-98435-100471-104391-104733-110263-111795-113057
558,1220-9782-20324-27502-45971-54955-57069-57206-58738-59174-60336-65299-71138-71960-73232-73876-74988-79060-83882-85986-88051-89031-89572-94610-96406-100846-110600
559,1223-2171-4725-5727-6253-7165-14067-14627-16083-16735-19283-27391-33429-37885-37975-37999-38036-38483-38568-38643-38839-39118-39679-40213-40275-40871-41001-41093-41350-41520-41701-41819-41899-42149-42409-42614-42721-43217-43537-44545-45181-45220-45225-45533-45561-46272-47023-47189-47279-47609-48360-48503-48629-48803-49039-49111-49171-49911-50351-50499-50661-50665-50992-51137-51209-52163-53005-53231-53941-54027-54485-55562-55915-55927-56041-56081-56235-56561-57099-57165-57291-57415-57537-57585-57707-57969-58127-59339-59736-60205-60783-61043-61495-61949-62053-62297-62585-62591-62899-63093-63397-63417-63568-63867-63875-64903-65249-65447-65647-65658-65725-65817-66061-66313-66333-66363-66781-66825-67011-67139-67373-67433-68445-68525-68833-68891-69791-70692-71047-71395-71581-71693-71921-71987-72210-72311-72397-72449-72481-72493-72838-73267-73633-73681-74057-74394-74947-74961-75549-75581-75608-75629-75727-75821-76143-77069-77183-77221-77294-77310-77873-77902-77969-78127-78429-78527-78724-79219-79259-79492-79797-79857-80035-80105-81344-81569-81573-81603-82133-82359-83061-83229-83887-84276-84891-85013-85325-85795-85842-86043-86079-86169-86233-86391-86493-87280-87427-87873-87907-88011-88035-88153-88628-88982-89269-89375-89379-89381-89509-90159-90357-90589-90681-91498-91559-92705-92717-94377-94471-94573-94713-95215-95219-95373-95479-95511-95861-96113-96247-96299-96477-96952-97911-97941-98007-98031-98827-98829-98853-98921-99219-99305-99413-99861-100307-100651-101331-101717-101837-102265-102405-102541-103030-103181-103367-104261-104479-104521-104725-104787-104831-105061-105513-105711-106167-106215-106329-106373-107107-107237-107605-107813-107825-107969-108649-109191-109223-109825-109877-109927-110086-110201-110679-111313-111533-112375-112605-112689-112809-113477-113499-113917-113999
560,1224
561,1227-8814-10828-10885-13564-16161-16531-25866-30291-33927-38111-38139-41491-42037-42068-45689-45837-46058-46947-49309-49381-51226-53359-54454-56805-56903-57869-60101-60611-62630-62813-63951-65679-65713-68195-69810-71535-74053-74587-74799-81055-81074-83553-83798-85073-86096-86945-88148-88469-90338-92651-94864-96787-97309-101000-101231-101926-103924-104077-105997-109758-113175-114471
562,1229-9095-11230-13298-14084-27630-35866-41639-50922-71868-78314-91336-112527
563,1230
564,1232-3426-9941-32412-33050-33784-34629-38018-38404-40025-40811-41246-43373-44096-44178-44782-47312-49822-49936-50589-51729-52815-53694-53826-55952-58355-62245-62271-63787-66405-67464-68503-72584-72619-74304-75683-76866-79765-81140-81479-82453-83803-85286-88799-88828-89506-89583-89865-94399-95284-96570-97487-99015-99042-99174-100360-106761-108419-108861-110638-112263-112704-113182-114536
565,1236-9558-21534-26932-114694
566,1238-1964-7390-47944-63784-64500-72926-77560-79166-87029-92378-94931-95359-103110-107492-109778-111082
567,1241-3285-14699-48381-52781-56962-57095-72007-80851
568,1243
569,1244-7744-8098-9330-12572-22358-25420-25910-34098-37072-40273-42411-42612-44380-48133-51669-51721-53587-54865-60713-67312-67941-70943-72700-74328-79423-80009-80052-82510-83962-84268-87766-91484-92869-94670-95367-96440-97857-102018-102239-105422-108791-109961-110547-111677-114334
570,1248-4378-21766-75220-76271-108872
571,1257-25271-39465-41389-50087-64303-66937-75935-80427-97268-101141-105653-112713
572,1258-7490-13996-16496-18908-26586-33322-35424-37212-38458-39052-39316-39526-41135-42679-43898-46102-46872-47116-47237-47666-47809-49950-50066-50426-51760-52846-53596-53950-54012-54212-55188-55896-56438-57260-57694-57930-58248-58760-60610-60648-60744-61061-61422-63782-64354-65806-66706-66960-67796-68434-68991-69528-69554-69774-69960-70054-70116-70352-70436-70533-73531-73560-73752-73868-74756-74860-74974-75402-75626-79230-79889-80158-81084-81771-82328-83150-83670-84838-84986-86104-88814-89247-89414-90880-91052-92267-92816-93274-94323-94561-94822-96058-96609-96644-97086-99950-100022-101662-101940-105698-106290-107310-108046-108165-108201-108554-109032-109536-110018-110352-111086-111312-111465-111734-113608
573,1261
574,1263-10863-17139-22056-28831-35941-41259-46619-48865-51364-72939-76457-83860
575,1264-30186-90764-112802
576,1266-11010-16598-26118-26902-26955-30856-32093-33237-33538-33570-40279-47876-48450-49910-50072-64581-68239-79187-80184-82813-83292-93322-93858-96743-97752-99245-104119-105583-108442-110848
577,1271-38623-72918-76909-84751-92935
578,1275-27867-28492
579,1276-20545-35048-38584-39681-39954-42077-42217-45824-46040-46076-46724-46755-47137-47611-47915-52291-53251-53529-53577-53649-54211-54548-54669-55423-55819-55934-56858-56881-57026-57661-58290-58964-59876-60196-62267-62399-62739-63537-64604-64681-65025-65413-65977-66079-66169-67557-69423-70411-70664-70700-71841-72050-72679-73704-73979-74385-74461-75249-75763-76545-76615-76951-77331-78458-78969-81843-82174-82234-82408-82627-82830-82894-83156-83181-83317-83465-84487-84757-85295-85708-85921-87781-88631-91136-91705-92058-92606-94385-94394-94980-95288-95772-95927-96737-98812-98920-100167-101157-101223-101251-101293-101431-101475-102114-102190-102287-102371-102509-102990-103503-103547-103811-104746-105011-105136-105597-107128-107667-109367-109472-109925-111349-112303-112341-112359-112379-112477-112880-114181-114833
580,1279-7233-8749-12917-18637-25963-32329-32377-43023-44177-46167-56469-59769-65167-66393-77997-101121-103139
581,1280-8061-27411-29389-31063-52619-59251-80753
582,1282-46496-76134
583,1288-47158-103307
584,1291-4593-13057-25733-43491-78577-86893
585,1293-99971
586,1294-33592-46903-74530-92002-103598
587,1297-10138-11912-36480-73549-82435
588,1298-7972-12392-13232-17524-17895-21696-22737-26474-32886-32950-34557-39925-40099-40803-41852-48312-50282-50794-52964-56104-58335-58348-61566-63370-63524-65010-66852-70953-71226-76372-77019-78172-78642-78886-79250-84766-85021-85555-87090-87443-87685-90861-96795-99320-101595-103630-112499-113671-114319
589,1301-102941
590,1302
591,1304-15320-18644-21326-76978-80028
592,1306-6455-9447-22754-38609-38963-49518-79878
593,1309
594,1311
595,1312
596,1315-7693-34501-41939-46365-59467
597,1316-13044-35273-59782
598,1319-6999-11027-11391-11417-11961-12356-12865-14805-16093-21341-22883-28557-30045-30909-31136-35597-38358-39533-39619-40173-40931-41141-41552-41695-41703-42009-42177-42385-42483-42515-44331-44449-44605-45227-47383-47913-49187-49389-49397-50161-51269-51498-51507-51805-52011-53513-54243-55515-56317-57020-57319-59385-59587-60039-60279-60785-61153-61195-61304-61941-62425-63188-63517-63865-65631-65677-66153-66181-67089-67423-67781-68917-68971-69007-69017-69321-69429-71241-71978-73859-74189-74699-75053-75621-75819-76053-76329-77567-80405-81141-81875-84049-84189-84843-85241-85542-86227-87844-88139-88509-88623-91193-92853-93421-95521-96603-98009-98741-98807-99533-100447-102362-103073-103227-103248-103627-103799-103816-104399-104803-105013-105713-106261-107109-107711-107847-108885-109299-109759-110382-110415-110443-111037-111439-112688-113947-114513-114823
599,1321
600,1323-12659-15659-18391-18417-21683-25709-32191-37153-39283-42064-42615-42742-43991-45714-48783-49043-50283-50771-52617-53425-54049-57577-59279-60027-61271-61943-62205-62323-63027-63065-63290-63399-64797-66827-73359-73857-76497-79549-79979-80680-81309-84661-85433-85883-86015-86279-87583-87852-89873-91897-92875-93961-94621-97464-97595-99213-100615-104879-105063-106191-106487-107060-108611
601,1325
602,1328-35402
603,1332-11950-15520-39709-39839-41625-42090-44102-45502-47482-50369-52775-56124-57955-61245-61603-66114-66158-68754-70284-73036-77082-85530-86139-87362-88320-92646-96014-97100-98550-99258-102158-103029-106980-107224-113178-114525
604,1337-9457-25882-65877-114158
605,1339-2913-9937-19345-30271-34131-34425-36627-36979-39161-39463-44061-54721-56721-59025-61529-63957-79991-80623-81461-81753-83363-83597-83827-84011-86041-86369-87389-87787-89043-92451-93167-96837-104899-104937-107257-107531-111079-113531
606,1340-4856-6792-6996-8694-9144-9914-11528-11864-13018-13204-14482-18878-19100-20394-21934-23296-24072-24914-25360-25604-25840-27054-28190-31250-31290-31828-31906-32274-41049-43435-45697-45861-47365-48286-50126-50249-53261-53862-55590-59321-65564-66920-71760-77173-78060-82036-82958-83499-83775-85817-88677-91242-92968-96316-97217-97664-102987-107480
607,1345
608,1346-87951
609,1348-109914
610,1350-3676-9018-15204-19672-26016-37392-37724-38676-39248-40074-40326-41870-43598-43885-44300-45834-45912-46023-46123-47219-49681-50074-50094-52853-53178-53264-53676-55532-56037-56876-56894-58470-58530-59204-59615-60274-60666-61806-63964-64683-64854-64986-66236-66483-66757-68254-68952-70384-70555-70890-73032-73357-75864-79064-79278-79665-80224-80314-80321-80905-83082-83283-83323-84048-84378-85548-86218-86220-88960-89324-89987-91353-93602-95370-96586-96596-96973-97047-97078-97558-98626-101606-103186-103206-103658-103722-103734-103832-103864-104157-105050-105087-105186-105296-106291-106420-106716-107494-107693-107895-109867-109956-111272-112089-112735-112782-114552
611,1353-6287-7345-22135-40959-42063-44334-44927-49353-49479-53421-57351-58659-63389-65946-66297-69907-72201-72657-72889-75543-78721-79504-81233-83897-84597-86383-86849-87385-92377-99017-100603-104835-111189-113181
612,1355
613,1357-1556-5423-7619-8132-9042-11170-13028-14064-17700-22382-23057-26476-31223-33696-38282-38776-38947-39309-39614-40011-40875-41898-41977-42423-43582-43843-43899-44339-44465-44971-45015-45565-45619-46342-46349-46738-47012-47567-47723-47802-48964-49207-49739-50342-51687-52085-52247-52906-52963-53433-56120-56796-56874-57808-58213-58541-58684-60737-60767-61189-61280-61684-62487-62831-65667-66474-66797-67211-67416-67683-67971-68033-69016-70063-70380-70417-71037-71117-72175-73213-73980-74453-74619-74875-74984-75172-76815-77475-77591-77617-77819-80284-80424-80593-80805-82298-82675-82835-83065-83231-84082-84324-84606-84681-85919-87533-88573-89916-89932-90212-91036-91992-94944-95692-95971-96613-96726-98426-99114-99900-100318-101265-102315-103586-103631-105308-105783-106722-107072-107155-107211-108510-108603-109075-109077-109256-109573-111885-112295-112678-112718-112800-112851-113244-113314-113643
614,1359-6136-8363-11489-13411-15707-17222-18921-21559-24419-32257-33608-36856-38619-38851-40813-51197-51271-51604-52754-53979-63134-66417-69763-70503-77856-82505-84452-85699-86524-86573-89629-90219-94363-94539-97549-106562-106643-107241-108780-108795
615,1362-11482-42610-57310-90156
616,1364-16032-38562
617,1370-5598-18492-34636-39287-57396-58172-67808-87203-103696
618,1372-1904-2970-4129-6153-8505-11046-13048-18444-22723-22789-24598-27117-29595-37032-37721-38551-39037-39307-39647-39867-39980-40033-40184-40303-40989-41599-42033-43799-44299-44511-44574-45854-45883-46256-46344-46409-46949-46978-47097-47289-47401-47776-48881-49415-49798-51629-51839-52164-52907-53139-53476-53569-53593-54156-54209-54604-55059-55518-55557-55913-57192-57317-57326-58191-58517-59179-59674-59867-60313-60457-60501-60749-61110-62227-62706-62788-62955-63719-64530-64843-64900-65124-66029-66340-69513-70282-70723-71603-73917-73978-73986-74496-74664-76663-77623-77661-77730-78131-78208-78319-78651-78869-79473-79681-79892-80362-81977-82079-82599-83345-83940-84075-84333-84492-84649-84871-85074-85712-86145-86877-87004-87231-87618-87925-87941-88229-88993-89991-91181-91208-91753-92487-93351-94970-95141-95456-97203-97382-97867-98854-99043-99692-99704-99931-100089-100701-101234-101444-102170-102631-103019-103369-104167-104606-104881-105222-105819-105820-106181-106518-106535-106852-107334-107371-107405-108205-108896-109119-109342-109695-109749-110149-110388-110757-111175-111316-111650-112137-112546-112893-113151-113296-114168
619,1375-24011-25903-26677-37611-42435-46173-48117-55734-66071-73607-79137-83093-86247-87238-92881-93963-96191-99382-103498
620,1376-10068-17632-54220-73786-88387-91412
621,1380-2174-9765-31098-66637-67861-87554-99093-107417-111116
622,1383-12012-12721-22421-23911-24171-31619-47707-49775-54240-71997-79307-86793-95735-112867
623,1384-8086-48388
624,1389-4935-5831-12165-13787-23372-30065-39511-41035-41604-42307-43380-46917-47382-51070-51911-51929-53027-54231-54435-54575-55031-55695-57111-58144-60306-61628-65987-70957-71625-73125-73756-73785-78400-78793-80089-80281-81398-83232-83301-83947-84095-85047-88231-88417-90535-90657-92073-93517-95693-98651-98865-99995-100699-102430-103188-105895-108405-108806-109782-111273-111522-113085
625,1391-26095
626,1393-5124-5579-9846-12487-12705-13751-14215-14703-15580-18703-20907-23295-24567-28807-29286-38679-38729-38781-40507-40673-41160-43379-43486-44700-45746-46056-46206-46739-50179-51283-52851-52904-55280-56339-57551-58553-59249-59359-60649-61171-61323-61921-62593-63912-67569-68001-68063-69141-69398-69457-69472-70162-71465-72909-73484-73975-74155-74239-76181-76736-80472-86915-87020-87652-88996-90840-95610-95774-96353-97166-97651-98787-100401-100461-100739-101357-103665-105659-106398-106459-106504-108653-109327-109799-110791-111153-112243-113183-114130-114263-114667
627,1394-16134-16178-16462-19399-21280-25132-27478-29302-29470-29786-30860-30970-31604-34202-39998-46430-48979-49506-50682-50697-60452-73115-73682-77207-79746-90750-91378-103606-109729-110704-111212-113494
628,1397-2769-5335-24667-26543-32033-34868-36381-37259-38737-41560-43811-43817-45380-49515-52523-55717-58651-61783-67605-67704-69525-69622-70967-73207-76003-76245-76637-78295-80115-83107-84325-84499-88431-92701-95211-96411-97617-101949-102303-102477-104867-105575-106229-112235-113763
629,1399
630,1400-11546-28426-40071-44404-46895-49331-70415-83983-86978-88542-90492-91068-92759-96395-98469-100761-105000-107849-112753
631,1402-5018-13198-13866-19286-50393-55862-66502
632,1404-6784-12184-17992-33632-37818-40375
633,1407
634,1409
635,1411
636,1414-12774-37541-46885-58764-63610-66248-83712-89767-99500-112476
637,1419-44003-45819-45889-49031-66199-75285-78603-90003-90179-90613-92242-101883-103761-109873
638,1420-1449-2482-4346-5057-8332-9072-9920-11868-12002-15720-15807-16282-16353-22000-25948-28182-30241-31240-34132-36051-36950-38089-39341-39913-41543-41837-41839-42552-45543-47138-47952-48490-48830-49559-50513-51414-51666-53097-53786-58383-59358-59660-60345-60754-61146-62556-62838-62901-62993-63126-63391-63975-64087-65494-65704-65738-67703-70089-70883-71525-72238-72440-72479-72585-73805-75525-75795-78665-78785-80023-80562-80770-81790-82475-82867-83973-84174-84676-85125-89208-89343-90408-91258-91469-92415-93179-95428-96809-98515-98936-99447-99834-100190-101333-102710-103539-104103-104569-105678-106141-106316-106649-107151-108010-108827-108875-108950-109628-109938-110081-111041-111233-111461-112440-113411-113662-114257-114295-114717-114862
639,1423-17309-24933-49616-71429-86698-99943
